Scheme,Priority,Run,Batch,Time,Runtime
FS,1,10,B3,619.4047200260684,52.0703658423646
FS,1,10,B5,619.4427430164069,42.077026543871185
FS,1,10,B5,619.4781380472705,31.625554840466954
FS,1,10,B5,628.6449730396271,42.90891025722831
FS,1,10,B5,628.6957280244678,28.385731491802655
FS,1,10,B3,628.7605039542541,31.402360819228385
FS,1,10,B1,628.7910010432824,61.608110308418254
FS,1,10,B5,628.8226339966059,27.21140117813082
FS,1,10,B3,628.8463249802589,19.44706239466074
FS,1,10,B1,628.8977960357442,99.26985565368838
FS,1,10,B3,628.9343399694189,44.36815727610399
FS,1,10,B1,640.4820920433849,78.00770679820934
FS,1,10,B3,640.5360490316525,23.951086454560823
FS,1,10,B3,640.570909017697,37.423178789976504
FS,1,10,B5,640.608525951393,33.98700204586648
FS,1,10,B3,653.0767950462177,28.754255663423038
FS,1,10,B5,653.1307100085542,30.029698199108388
FS,1,10,B1,653.1760320067406,78.70780899320344
FS,1,10,B3,653.4863819833845,24.374964375913365
FS,1,10,B3,663.4810300311074,18.392660936442507
FS,1,10,B5,663.5159270372242,40.215257268519714
FS,1,10,B3,663.5600780136883,49.31497007634217
FS,1,10,B5,663.5998230194673,31.516650908005108
FS,1,10,B3,663.6251540621743,42.73409311154405
FS,1,10,B3,670.6386120058596,27.543202631303867
FS,1,10,B3,670.6783630652353,36.101818004556186
FS,1,10,B5,670.7111640134826,36.42553141932388
FS,1,10,B3,670.7544149830937,11.46346048490654
FS,1,10,B5,670.7812399836257,56.7413473111267
FS,1,10,B1,670.8129319595173,165.18438138247257
FS,1,10,B1,671.007052063942,72.23764361856135
FS,1,10,B3,681.6504839807749,44.17353038026874
FS,1,10,B5,681.6885919542983,43.02043059239949
FS,1,10,B3,681.7127390531823,16.680719708108356
FS,1,10,B3,681.7512139678001,15.026089903874261
FS,1,10,B3,689.5976240048185,29.4503611469789
FS,1,10,B3,689.6416010567918,29.18770167246938
FS,1,10,B3,689.6680239588022,12.869678927379308
FS,1,10,B5,689.6920700091869,26.308272350013354
FS,1,10,B3,699.1194949951023,21.84182421084986
FS,1,10,B1,699.151820037514,66.44149537631561
FS,1,10,B3,699.1945060435683,14.04847067476449
FS,1,10,B1,699.2280669510365,81.70483129800768
FS,1,10,B1,699.2740120040253,88.08577588052151
FS,1,10,B5,699.3042790563777,49.34565255094682
FS,1,10,B5,706.9179799873382,31.389679007711237
FS,1,10,B3,706.957419984974,18.259720124569927
FS,1,10,B3,706.9802910555154,31.177780014368025
FS,1,10,B3,717.8420630516484,11.087725171161523
FS,1,10,B3,717.9007939994335,32.97540957008017
FS,1,10,B5,717.9292630171403,47.767412411938466
FS,1,10,B5,717.9595769848675,95.70724638363345
FS,1,10,B3,717.9970589932054,45.42195421299947
FS,1,10,B5,718.026731046848,28.931968993840965
FS,1,10,B3,718.3254789561033,28.42826964052848
FS,1,10,B5,726.9203730393201,47.22019656261218
FS,1,10,B3,726.9568300107494,19.21968108194294
FS,1,10,B3,726.9797100452706,16.050726855797382
FS,1,10,B3,727.0179589977488,32.30295344158595
FS,1,10,B3,727.0425920141861,29.252952187236694
FS,1,10,B5,727.4371549719945,62.723105648751066
FS,1,10,B3,727.4703190196306,62.52241294122644
FS,1,10,B3,727.6828000321984,27.86155425110219
FS,1,10,B3,727.8290949761868,20.597133592153067
FS,1,10,B5,737.5774850370362,22.796849087497822
FS,1,10,B1,737.6414759783074,100.24912293504295
FS,1,10,B3,745.947954012081,20.739699298621193
FS,1,10,B5,745.9959440166131,68.64050784272978
FS,1,10,B3,746.0307299625129,17.624463216447513
FS,1,10,B3,746.1396140279248,16.36858167426923
FS,1,10,B3,754.4587550219148,29.820160816212272
FS,1,10,B5,754.5212829718366,28.729139047803635
FS,1,10,B1,754.5593340182677,108.92905277327881
FS,1,10,B3,754.5958430273458,24.175187607141112
FS,1,10,B5,754.6304289717227,52.277597282050074
FS,1,10,B5,754.6613620361313,33.878982079176986
FS,1,10,B3,754.6928550582379,18.278648898702635
FS,1,10,B3,762.0644730050117,30.575782123905526
FS,1,10,B5,762.1091899927706,66.46577893508271
FS,1,10,B3,768.6058599501848,42.27737259821786
FS,1,10,B3,776.8578879768029,39.0711770072577
FS,1,10,B5,776.9144410267472,42.77630244457731
FS,1,10,B3,776.9597939914092,25.156212300970036
FS,1,10,B3,777.0023780176416,16.951719549512394
FS,1,10,B5,777.0290169864893,53.27589517633111
FS,1,10,B5,777.0576640032232,20.125206302201214
FS,1,10,B3,777.0889749517664,23.392277145167235
FS,1,10,B3,785.0292259827256,24.64419658090563
FS,1,10,B3,785.0824040360749,27.631882787840212
FS,1,10,B1,785.2477349806577,171.51817566577242
FS,1,10,B5,790.6202509766445,56.88993263595073
FS,1,10,B3,790.6621070578694,27.370101397650867
FS,1,10,B3,790.7756509957835,54.85553370812008
FS,1,10,B5,790.8133890014142,28.949068589202085
FS,1,10,B5,790.8405390335247,81.2407703523146
FS,1,10,B3,798.0957509716973,20.49978306851561
FS,1,10,B3,798.1449200306088,16.162665319556037
FS,1,10,B3,798.1798429973423,16.456338361876927
FS,1,10,B3,798.2030760031193,55.12520684886788
FS,1,10,B3,798.2380819739774,63.868334826892834
FS,1,10,B5,798.2705909525976,33.95442761050338
FS,1,10,B5,798.3676330186427,35.73777883530716
FS,1,10,B3,804.9208789598197,25.07584916082026
FS,1,10,B3,804.9643120029941,28.48080187264335
FS,1,10,B3,805.0054940395057,36.208336595703564
FS,1,10,B5,805.031078052707,105.04820903973452
FS,1,10,B3,805.0581290153787,18.829957212579384
FS,1,10,B3,805.0973110366613,37.8696163315355
FS,1,10,B3,817.7432019729167,19.69425895486533
FS,1,10,B3,817.8112040041015,21.436722422934903
FS,1,10,B3,817.8683869773522,25.31972129399401
FS,1,10,B3,817.9007429862395,27.067113328233578
FS,1,10,B3,824.712355970405,18.50274195636124
FS,1,10,B3,824.7632279526442,39.73454762281297
FS,1,10,B3,824.8031180119142,29.5041690696625
FS,1,10,B3,824.8299929546192,29.910364318524707
FS,1,10,B3,824.8480759793893,24.944283766380632
FS,1,10,B5,824.8807990457863,86.753856906986
FS,1,10,B3,824.9011869775131,19.781431793770647
FS,1,10,B3,834.4101520488039,23.733295236257273
FS,1,10,B3,834.4599710544571,19.219712945814987
FS,1,10,B3,834.4965489814058,38.673887409844504
FS,1,10,B3,834.5276629552245,31.92826507617364
FS,1,10,B3,834.5648209797218,40.822060301807326
FS,1,10,B3,834.591377992183,24.118303768218503
FS,1,10,B3,834.6196509664878,13.957262386918542
FS,1,10,B3,834.6440410241485,49.0877467143836
FS,1,10,B3,840.8707010094076,29.01025364314652
FS,1,10,B3,840.9196609864011,29.445918338785496
FS,1,10,B3,840.9467280143872,31.45588514394159
FS,1,10,B3,840.9845039714128,13.923151402700583
FS,1,10,B5,841.023143962957,82.54265218362525
FS,1,10,B3,846.440049004741,40.53976882382197
FS,1,10,B3,846.5026010526344,22.0476201454191
FS,1,10,B3,852.2872199537233,17.24139456765117
FS,1,10,B3,852.352304966189,52.754126792201816
FS,1,10,B3,852.3863160517067,33.448472418298714
FS,1,10,B3,852.4560100631788,49.8446691433254
FS,1,10,B3,854.3423509690911,28.856273138594016
FS,1,10,B3,854.3835909804329,18.03542335691839
FS,1,10,B3,854.4999930309132,29.020290463616455
FS,1,10,B3,857.0342770544812,38.62576095893205
FS,1,10,B3,864.7685090545565,39.3001195735894
FS,1,10,B3,871.4951319852844,35.87006086849018
FS,1,10,B3,882.6230920385569,54.18337500271656
FS,1,10,B3,885.4666210245341,48.632033526096784
FS,1,10,B3,899.9802370090038,73.29229394103449
FS,1,10,B3,902.387332986109,75.65224614080276
FS,1,11,B4,16.08800794929266,10.11803298905787
FS,1,11,B3,16.14960201550275,11.748066386897968
FS,1,11,B4,16.17279800120741,11.310759732797845
FS,1,11,B4,16.21299993712455,7.751511081290543
FS,1,11,B4,23.126353975385427,18.501248279901674
FS,1,11,B4,23.183814017102122,16.15219998245246
FS,1,11,B4,32.01417496893555,7.857785751660856
FS,1,11,B4,32.07250591367483,12.101415870213838
FS,1,11,B3,32.120471936650574,25.738289330207127
FS,1,11,B3,32.14752394706011,22.71613753794779
FS,1,11,B2,32.17432997189462,27.387330172280834
FS,1,11,B4,32.19691896811128,14.729581217764524
FS,1,11,B5,32.324214931577444,23.489671735001505
FS,1,11,B3,43.21854992303997,36.639208381819685
