deadline_success_ratio,execution_time,log,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.440625,3401.16500306,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,1.0,0.0,0.0,0.8,2400.0
0.46875,3401.16500306,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,1.0,0.0,0.0,1.0,2400.0
0.0,130.683163881,False,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.0,2400.0
0.2,130.683163881,False,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.2,2400.0
0.353125,130.683163881,False,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.4,2400.0
0.45,130.683163881,False,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.6,2400.0
0.509375,130.683163881,False,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,0.8,2400.0
0.56875,130.683163881,False,0.867525773196,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,2.0,0.339005613577,0.0,1.0,2400.0
0.0,90.6917738914,False,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.0,2400.0
0.00625,90.6917738914,False,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.2,2400.0
0.01875,90.6917738914,False,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.4,2400.0
0.05,90.6917738914,False,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.6,2400.0
0.14375,90.6917738914,False,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,0.8,2400.0
0.309375,90.6917738914,False,0.9995408994,0.965763611315,1.0,1.0,4200.0,3880.0,320.0,200.0,fair,2.0,0.0115417781164,0.131779612689,1.0,2400.0
0.0,5820.97546816,False,0.993088566071,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,2.0,0.0649697742371,0.0,0.0,2400.0
0.065625,5820.97546816,False,0.993088566071,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,2.0,0.0649697742371,0.0,0.2,2400.0
0.128125,5820.97546816,False,0.993088566071,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,2.0,0.0649697742371,0.0,0.4,2400.0
0.196875,5820.97546816,False,0.993088566071,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,2.0,0.0649697742371,0.0,0.6,2400.0
0.225,5820.97546816,False,0.993088566071,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,2.0,0.0649697742371,0.0,0.8,2400.0
0.26875,5820.97546816,False,0.993088566071,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,aware,2.0,0.0649697742371,0.0,1.0,2400.0
0.003125,102.316550016,False,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,200.0,deadline,3.0,0.0,0.0,0.0,2400.0
