deadline_success_ratio,execution_time,mean_best_effort,mean_deadline,median_best_effort,median_deadline,no_batches,no_best_effort,no_deadline,no_workers,scheduler,seed,std_best_effort,std_deadline,strictness,total_time
0.0,615.752757072,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,2.0,0.0,0.0,0.0,2400.0
0.090625,615.752757072,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,2.0,0.0,0.0,0.2,2400.0
0.15,615.752757072,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,2.0,0.0,0.0,0.4,2400.0
0.203125,615.752757072,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,2.0,0.0,0.0,0.6,2400.0
0.315625,615.752757072,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,2.0,0.0,0.0,0.8,2400.0
0.509375,615.752757072,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,2.0,0.0,0.0,1.0,2400.0
0.0,691.585953951,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,2.0,0.0,0.0,0.0,2400.0
0.146875,691.585953951,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,2.0,0.0,0.0,0.2,2400.0
0.3375,691.585953951,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,2.0,0.0,0.0,0.4,2400.0
0.490625,691.585953951,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,2.0,0.0,0.0,0.6,2400.0
0.603125,691.585953951,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,2.0,0.0,0.0,0.8,2400.0
0.66875,691.585953951,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,2.0,0.0,0.0,1.0,2400.0
0.009375,1245.44403791,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,3.0,0.0,0.0,0.0,2400.0
0.484375,1245.44403791,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,3.0,0.0,0.0,0.2,2400.0
0.696875,1245.44403791,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,3.0,0.0,0.0,0.4,2400.0
0.784375,1245.44403791,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,3.0,0.0,0.0,0.6,2400.0
0.81875,1245.44403791,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,3.0,0.0,0.0,0.8,2400.0
0.834375,1245.44403791,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,deadline,3.0,0.0,0.0,1.0,2400.0
0.003125,1222.50049496,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,3.0,0.0,0.0,0.0,2400.0
0.209375,1222.50049496,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,3.0,0.0,0.0,0.2,2400.0
0.29375,1222.50049496,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,3.0,0.0,0.0,0.4,2400.0
0.359375,1222.50049496,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,3.0,0.0,0.0,0.6,2400.0
0.515625,1222.50049496,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,3.0,0.0,0.0,0.8,2400.0
0.64375,1222.50049496,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,fair,3.0,0.0,0.0,1.0,2400.0
0.003125,1197.37806106,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,3.0,0.0,0.0,0.0,2400.0
0.25,1197.37806106,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,3.0,0.0,0.0,0.2,2400.0
0.490625,1197.37806106,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,3.0,0.0,0.0,0.4,2400.0
0.646875,1197.37806106,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,3.0,0.0,0.0,0.6,2400.0
0.746875,1197.37806106,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,3.0,0.0,0.0,0.8,2400.0
0.771875,1197.37806106,1.0,1.0,1.0,1.0,4200.0,3880.0,320.0,300.0,saware,3.0,0.0,0.0,1.0,2400.0
0.00315457413249,195.137356997,0.949205522271,0.998111137661,1.0,1.0,4200.0,3839.0,317.0,300.0,deadline,4.0,0.219577773832,0.0335771513863,0.0,2400.0
0.397476340694,195.137356997,0.949205522271,0.998111137661,1.0,1.0,4200.0,3839.0,317.0,300.0,deadline,4.0,0.219577773832,0.0335771513863,0.2,2400.0
0.605678233438,195.137356997,0.949205522271,0.998111137661,1.0,1.0,4200.0,3839.0,317.0,300.0,deadline,4.0,0.219577773832,0.0335771513863,0.4,2400.0
0.706624605678,195.137356997,0.949205522271,0.998111137661,1.0,1.0,4200.0,3839.0,317.0,300.0,deadline,4.0,0.219577773832,0.0335771513863,0.6,2400.0
0.766561514196,195.137356997,0.949205522271,0.998111137661,1.0,1.0,4200.0,3839.0,317.0,300.0,deadline,4.0,0.219577773832,0.0335771513863,0.8,2400.0
0.801261829653,195.137356997,0.949205522271,0.998111137661,1.0,1.0,4200.0,3839.0,317.0,300.0,deadline,4.0,0.219577773832,0.0335771513863,1.0,2400.0
0.0,160.322365999,0.999565859165,0.976896317878,1.0,1.0,4200.0,3839.0,317.0,300.0,fair,4.0,0.0156787965651,0.114039686137,0.0,2400.0
0.0410094637224,160.322365999,0.999565859165,0.976896317878,1.0,1.0,4200.0,3839.0,317.0,300.0,fair,4.0,0.0156787965651,0.114039686137,0.2,2400.0
0.0914826498423,160.322365999,0.999565859165,0.976896317878,1.0,1.0,4200.0,3839.0,317.0,300.0,fair,4.0,0.0156787965651,0.114039686137,0.4,2400.0
0.18927444795,160.322365999,0.999565859165,0.976896317878,1.0,1.0,4200.0,3839.0,317.0,300.0,fair,4.0,0.0156787965651,0.114039686137,0.6,2400.0
0.347003154574,160.322365999,0.999565859165,0.976896317878,1.0,1.0,4200.0,3839.0,317.0,300.0,fair,4.0,0.0156787965651,0.114039686137,0.8,2400.0
